,account_id,company_size,num_users_10days,engagement_ratio,type
600,UIJ0YXIYQB,2.Mid-Market,0,4.504504504504505,Customer
601,UKX496K4O6,3.Enterprise,18,23.191094619666046,Customer
602,UL1RSRLA8S,2.Mid-Market,17,8.47953216374269,Customer
603,ULWJTIQWNR,3.Enterprise,44,0.053190213000807854,Customer
604,UPUY0ZIA9A,2.Mid-Market,0,1.8018018018018018,Customer
605,URMWUECPNC,2.Mid-Market,0,0.3766478342749529,Customer
606,URXHW0IC1L,2.Mid-Market,5,31.390134529147986,Customer
607,UVY8N1UTOX,2.Mid-Market,0,7.079646017699115,Customer
608,V283BDW56F,2.Mid-Market,1,6.707317073170732,Customer
609,V4KFQ5DZ53,2.Mid-Market,43,48.6697965571205,Customer
610,V9DT94G8V9,2.Mid-Market,0,0.9708737864077669,Customer
611,VAJ2K8XPNM,2.Mid-Market,5,210.52631578947367,Customer
612,VB66H3REM5,2.Mid-Market,0,0.039761431411530816,Customer
613,VF02GVLLSA,3.Enterprise,0,22.22222222222222,Customer
614,VG3KK0VM59,3.Enterprise,0,0.27972027972027974,Customer
615,VHOTQF74RQ,3.Enterprise,34,0.06569336497013802,Customer
616,VMB0IDD0WP,2.Mid-Market,4,3.4220532319391634,Customer
617,VQA7IZQ2NM,2.Mid-Market,10,30.630630630630627,Customer
618,VRN8LPY857,2.Mid-Market,1,44.44444444444444,Customer
619,VV8SUOC1Y5,3.Enterprise,79,42.83121597096189,Customer
620,VWOZQXIWE6,2.Mid-Market,1,85.71428571428571,Customer
621,VWY3RZTPLC,3.Enterprise,0,,Customer
622,VXD2ZU4NS7,2.Mid-Market,6,9.577464788732394,Customer
623,VZN2HLOIKI,2.Mid-Market,5,43.86422976501306,Customer
624,VZZXT9QUBW,3.Enterprise,0,1.3245033112582782,Customer
625,W05Y2DA5B4,2.Mid-Market,0,5.113636363636364,Customer
626,W1TBRWR965,2.Mid-Market,5,80.0,Customer
627,W1VZC7D2KD,3.Enterprise,18,89.85507246376811,Customer
628,W41F7V4K88,3.Enterprise,2,43.75,Customer
629,W9HEYCE4QG,3.Enterprise,1,7.392996108949417,Customer
630,W9PFB3HN14,3.Enterprise,90,6.902860944777113,Customer
631,WAEN7YJF30,3.Enterprise,6,0.0037998746041380633,Customer
632,WAOUAXEQBN,2.Mid-Market,0,38.46153846153847,Customer
633,WBHO4UW2AW,2.Mid-Market,2,9.49085516559565,Customer
634,WHWKMY9X8S,2.Mid-Market,0,16.923076923076923,Customer
635,WKGUY0OFIP,2.Mid-Market,15,38.91156462585034,Customer
636,WKSHY8NBIQ,3.Enterprise,8,23.0188679245283,Customer
637,WL9700LFQF,3.Enterprise,148,0.19749308774192903,Customer
638,WLCFS8314Y,2.Mid-Market,3,,Customer
639,WM9Q7FTMFW,2.Mid-Market,5,33.87096774193548,Customer
640,WNPR424TKB,2.Mid-Market,272,0.22168359541393937,Customer
641,WQ1GAZ5UH8,2.Mid-Market,2,32.8125,Customer
642,WYZXJQYJV8,3.Enterprise,20,80.09950248756219,Customer
643,WZ940VTKRR,2.Mid-Market,50,63.48547717842323,Customer
644,X1F8S0X7M2,3.Enterprise,0,0.16155088852988692,Customer
645,X3VPF9PAVC,2.Mid-Market,0,24.193548387096776,Customer
646,X80NKXKBEF,2.Mid-Market,1,2.6785714285714284,Customer
647,X8HBBJCDIW,2.Mid-Market,27,30.256410256410255,Customer
648,XAJMK4X1FD,2.Mid-Market,0,9.803921568627452,Customer
649,XBIDFWA88D,2.Mid-Market,41,50.34722222222222,Customer
650,XCCSG4OFDT,2.Mid-Market,4,23.28767123287671,Customer
651,XF1PI2OOQ4,2.Mid-Market,4,0.010699903700866691,Customer
652,XF50I6GBXQ,3.Enterprise,82,37.42802303262956,Customer
653,XFGCAQVKIZ,2.Mid-Market,0,0.3110419906687403,Customer
654,XHQG4QLV72,2.Mid-Market,1,58.97435897435898,Customer
655,XJ0MQVINDH,2.Mid-Market,119,96.6142684401451,Customer
656,XJQ5NV8OGA,2.Mid-Market,1,3.9741219963031424,Customer
657,XK31WBHTFN,2.Mid-Market,8,55.26315789473685,Customer
